,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Gender,title
598,Aditya Chattopadhyay,Johns Hopkins University,Male,Vineeth N Balasubramanian,"Indian Institute of Technology, Hyderabad",Male,Neural Network Attributions: A Causal Perspective
599,Chaoyu Guan,Shanghai Jiao Tong University,Male,Xing Xie,Microsoft Research Asia,Male,Towards a Deep and Unified Understanding of Deep Neural Models in NLP
600,Marco Ancona,ETH Zurich,Male,Markus Gross,ETH Zurich,Male,Explaining Deep Neural Networks with a Polynomial Time Algorithm for Shapley Value Approximation
601,Guang-He Lee,MIT CSAIL,Male,Tommi Jaakkola,MIT,Male,Functional Transparency for Structured Data: a Game-Theoretic Approach
602,Tian Guo,ETH Zurich,,Nino Antulov-Fantulin,ETHZ,Male,Exploring interpretable LSTM neural networks over multi-variable data
603,Augustus Odena,Google Brain,Male,Ian Goodfellow,Google Brain,Male,TensorFuzz: Debugging Neural Networks with Coverage-Guided Fuzzing
604,Tong Wang,University of Iowa,Female,Tong Wang,University of Iowa,Female,Gaining Free or Low-Cost Interpretability with Interpretable Partial Substitute
605,Cheng Wang,NEC Laboratories Europe,Male,Mathias Niepert,NEC Laboratories Europe,Male,State-Regularized Recurrent Neural Networks
606,Sahil Singla,University of Maryland,Male,Soheil Feizi,University of Maryland,Male,Understanding Impacts of High-Order Loss Approximations and Features in Deep Learning Interpretation
607,Christian Etmann,University of Bremen,Male,Carola-Bibiane Schönlieb,University of Cambridge,Female,On the Connection Between Adversarial Robustness and Saliency Map Interpretability
608,Alon Brutzkus,Tel Aviv University,Male,Amir Globerson,"Tel Aviv University, Google",Male,Why do Larger Models Generalize Better? A Theoretical Perspective via the XOR Problem
609,Nasim Rahaman,University of Heidelberg,Male,Aaron Courville,University of Montreal,Male,On the Spectral Bias of Neural Networks
610,Badih Ghazi,Google,Male,Joshua R. Wang,Google,Male,Recursive Sketches for Modular Deep Learning
611,Gaurav Kumar Nayak,Indian Institute of Science,Male,Anirban Chakraborty,Indian Institute of Science,Male,Zero-Shot Knowledge Distillation in Deep Networks
612,Zeyuan Allen-Zhu,Microsoft Research AI,Male,Zhao Song,UT-Austin,Male,A Convergence Theory for Deep Learning via Over-Parameterization
613,Umut Simsekli,Telecom ParisTech,Male,Mert Gurbuzbalaban,Rutgers University,Male,A Tail-Index Analysis of Stochastic Gradient Noise in Deep Neural Networks
614,Kenta Oono,University of Tokyo / Preferred Networks,Male,Taiji Suzuki,The University of Tokyo / RIKEN,Male,Approximation and non-parametric estimation of ResNet-type convolutional neural networks
615,Jinshan ZENG,Hongkong University of Science and Technology,Male,Yuan Yao,HongKong University of Science and Technology,Male,Global Convergence of Block Coordinate Descent in Deep Learning
616,Vardan Papyan,Stanford University,Male,Vardan Papyan,Stanford University,Male,Measurements of Three-Level Hierarchical Structure in the Outliers in the Spectrum of Deepnet Hessians
617,Ed Wagstaff,University of Oxford,Male,Michael A Osborne,U Oxford,Male,On the Limitations of Representing Functions on Sets
618,Rama Vedantam,Facebook AI Research,Male,Devi Parikh,Georgia Tech & Facebook AI Research,Female,Probabilistic Neural Symbolic Models for Interpretable Visual Question Answering
619,Konstantinos Panousis,National and Kapodistrian University of Athens,Male,Sergios Theodoridis,National and Kapodistrian University of Athens,Male,Nonparametric Bayesian Deep Networks with Local Competition
620,Simone Rossi,EURECOM,Male,Maurizio Filippone,Eurecom,Male,Good Initializations of Variational Bayes for Deep Models
621,Eric Nalisnick,University of Cambridge & DeepMind,Male,Padhraic Smyth,UC Irvine,Male,Dropout as a Structured Shrinkage Prior
622,Mingzhang Yin,University of Texas at Austin,Male,Mingyuan Zhou,University of Texas at Austin,Male,ARSM: Augment-REINFORCE-Swap-Merge Estimator for Gradient Backpropagation Through Categorical Variables
623,Ben Poole,Google Brain,Male,George Tucker,Google Brain,Male,On Variational Bounds of Mutual Information
624,Samuel Wiqvist,Lund University,Male,Jes Frellsen,IT University of Copenhagen,Male,Partially Exchangeable Networks and Architectures for Learning Summary Statistics in Approximate Bayesian Computation
625,Chin-Wei Huang,MILA,Male,Aaron Courville,Université de Montréal,Male,Hierarchical Importance Weighted Autoencoders
626,Karl Stelzner,TU Darmstadt,Male,Kristian Kersting,TU Darmstadt,Male,Faster Attend-Infer-Repeat with Tractable Probabilistic Models
627,Mariia Vladimirova,Inria,Female,Julyan Arbel,Inria Grenoble Rhone-Alpes,Male,Understanding Priors in Bayesian Neural Networks at the Unit Level
628,Dong Yin,UC Berkeley,Male,Peter Bartlett,UC Berkeley,Male,Defending Against Saddle Point Attack in Byzantine-Robust Distributed Learning
629,Baojian Zhou,"University at Albany, SUNY",Male,Yiming Ying,SUNY Albany,Male,Stochastic Iterative Hard Thresholding for Graph-structured Sparsity Optimization
630,Grant Rotskoff,New York University,Male,Eric Vanden-Eijnden,New York University,Male,Neuron birth-death dynamics accelerates gradient descent and converges asymptotically
631,Simon Du,Carnegie Mellon University,Male,Wei Hu,Princeton University,Male,Width Provably Matters in Optimization for Deep Linear Neural Networks
632,Samet Oymak,"University of California, Riverside",Male,Mahdi Soltanolkotabi,University of Southern California,Male,Overparameterized Nonlinear Learning: Gradient Descent Takes the Shortest Path?
633,Jason Xu,Duke University,Male,Kenneth Lange,UCLA,Male,Power k-Means Clustering
634,Chen Yu,University of Rochester,Male,Ji Liu,"Kwai Seattle AI lab, University of Rochester",Male,Distributed Learning over Unreliable Networks
635,Matt Staib,MIT,Male,Suvrit Sra,MIT,Male,Escaping Saddle Points with Adaptive Gradient Methods
636,Hanlin Tang,University of Rochester,Male,Ji Liu,"Kwai Seattle AI lab, University of Rochester",Male,$\texttt{DoubleSqueeze}$: Parallel Stochastic Gradient Descent with Double-pass Error-Compensated Compression
637,Peter Ochs,Saarland University,Male,Yura Malitsky,University of Göttingen,Male,Model Function Based Conditional Gradient Method with Armijo-like Line Search
638,Carl Allen,The University of Edinburgh,Male,Timothy Hospedales,Samsung AI Centre / University of Edinburgh,Male,Analogies Explained: Towards Understanding Word Embeddings
639,Neil Houlsby,Google,Male,Sylvain Gelly,Google Brain,Male,Parameter-Efficient Transfer Learning for NLP
640,Sujith Ravi,Google Research,Male,Sujith Ravi,Google Research,Male,Efficient On-Device Models using Neural Projections
641,Nikolaos Pappas,Idiap Research Institute,Male,James Henderson,IDIAP,Male,Deep Residual Output Layers for Neural Language Generation
642,Dilin Wang,UT Austin,Male,Qiang Liu,UT Austin,Male,Improving Neural Language Modeling via Adversarial Training
643,Tianxiao Shen,MIT,Female,Marc'Aurelio Ranzato,Facebook,Male,Mixture Models for Diverse Machine Translation: Tricks of the Trade
644,Kaitao Song,Nanjing University of Science and Technology,,Tie-Yan Liu,Microsoft,Male,MASS: Masked Sequence to Sequence Pre-training for Language Generation
645,Limor Gultchin,University of Oxford,Female,Adam Kalai,Microsoft Research,Male,Humor in Word Embeddings: Cockamamie Gobbledegook for Nincompoops
646,Eric Chu,Massachusetts Institute of Technology,Male,Peter J. Liu,Google Brain,Male,MeanSum: A Neural Model for Unsupervised Multi-Document Abstractive Summarization
647,Tom Kenter,Google UK,Male,Jakub Vit,University of West Bohemia,Male,CHiVE: Varying Prosody in Speech Synthesis with a Linguistically Driven Dynamic Hierarchical Conditional Variational Network
648,Xi Peng,Sichuan University,Female,Joey Tianyi Zhou,A*STAR,Male,COMIC: Multi-view Clustering Without Parameter Selection
649,Facundo Memoli,Ohio State University,Male,Zhengchao Wan,The Ohio State University,Male,The Wasserstein Transform
650,Ehsan Elhamifar,Northeastern University,Male,Ehsan Elhamifar,Northeastern University,Male,Sequential Facility Location: Approximate Submodularity and Greedy Algorithm
651,Tong Zhang,The Australian National University,Female,HONGDONG LI,"Australian National University, Australia",Male,Neural Collaborative Subspace Clustering
652,Jiabo Huang,Queen Mary University of London,Male,Xiatian Zhu,Vision Semantics Limited,Male,Unsupervised Deep Learning by Neighbourhood Discovery
653,Conor Durkan,University of Edinburgh,Male,Charlie Nash,The University of Edinburgh,Male,Autoregressive Energy Machines
654,Kai Zhang,East China Normal University,Male,Jie Zhang,Fudan University,Male,Greedy Orthogonal Pivoting Algorithm for Non-Negative Matrix Factorization
655,Joshua Batson,Chan Zuckerberg Biohub,Male,Loic Royer,Chan Zuckerberg Biohub,Male,Noise2Self: Blind Denoising by Self-Supervision
656,Paroma Varma,Stanford University,Female,Christopher Re,Stanford,Male,Learning Dependency Structures for Weak Supervision Models
657,Henry Kuo,Columbia University,Male,John Wright,"Columbia University, USA",Male,Geometry and Symmetry in Short-and-Sparse Deconvolution
658,Di Wang,State University of New York at Buffalo,Male,Jinhui Xu,SUNY Buffalo,Male,On Sparse Linear Regression in the Local Differential Privacy Model
659,Di Wang,State University of New York at Buffalo,Male,Jinhui Xu,SUNY Buffalo,Male,Differentially Private Empirical Risk Minimization with Non-convex Loss Functions
660,Kareem Amin,Google Research,Male,Sergei Vassilvitskii,Google,Male,Bounding User Contributions: A Bias-Variance Trade-off in Differential Privacy
661,Haim Kaplan,Tel Aviv University and Google,Male,Uri Stemmer,Ben-Gurion University,Male,Differentially Private Learning of Geometric Concepts
662,L. Elisa Celis,Yale University,Female,Nisheeth Vishnoi,Yale University,Male,Toward Controlling Discrimination in Online Ad Auctions
663,Razieh Nabi,Johns Hopkins University,Female,Ilya Shpitser,Johns Hopkins University,Male,Learning Optimal Fair Policies
664,Jeremie Mary,CRITEO,Male,Noureddine El Karoui,"Criteo AI Lab and UC, Berkeley",Male,Fairness-Aware Learning for Continuous Attributes and Treatments
665,Bob C Williamson,ANU,Male,Aditya Menon,Google,Male,Fairness risk measures
666,Xingyu Chen,Duke University,Male,Kamesh Munagala,Duke University,Male,Proportionally Fair Clustering
667,Lingxiao Huang,EPFL,Male,Nisheeth Vishnoi,Yale University,Male,Stable and Fair Classification
668,Elliot Creager,University of Toronto,Male,Richard Zemel,Vector Institute,Male,Flexibly Fair Representation Learning by Disentanglement
669,Alekh Agarwal,Microsoft Research,Male,Steven Wu,University of Minnesota,Male, Fair Regression: Quantitative Definitions and Reduction-Based Algorithms
670,Berk Ustun,Harvard University,Male,David Parkes,Harvard University,Male,Fairness without Harm: Decoupled Classifiers with Preference Guarantees
671,Matthew Jagielski,Northeastern University,Male,Jonathan Ullman,Northeastern University,Male,Differentially Private Fair Learning
672,Paula Gordaliza,Institut de Mathématiques de Toulouse and IMUVA,Female,Loubes Jean-Michel,Université Toulouse Paul Sabatier Institut de Mathématiques de Toulouse,Male,Obtaining Fairness using Optimal Transport Theory
673,Hao Wang,Harvard University,Male,Flavio Calmon,Harvard University,Male,Repairing without Retraining: Avoiding Disparate Impact with Counterfactual Distributions
674,Hoda Heidari,ETHZ,Female,Krishna Gummadi,MPI-SWS,Male,On the Long-term Impact of Algorithmic Decision Policies: Effort Unfairness and Feature Segregation through Social Learning
675,Matt J. Kusner,The Alan Turing Institute,Male,Ricardo Silva,University College London,Male,Making Decisions that Reduce Discriminatory Impacts
676,Chris Harshaw,Yale University,Male,Amin Karbasi,Yale,Male,"Submodular Maximization beyond Non-negativity: Guarantees, Fast Algorithms, and Applications"
677,Sreenivas Gollapudi,Google Research,Male,Debmalya Panigrahi,Duke University,Male,Online Algorithms for Rent-Or-Buy with Expert Advice
678,Matthew Fahrbach,Georgia Institute of Technology,Male,Morteza Zadimoghaddam,Google,Male,Non-monotone Submodular Maximization with Nearly Optimal Adaptivity and Query Complexity
679,Hossein Bateni,Google Research,Female,Afshin Rostamizadeh,Google,Male,Categorical Feature Compression via Submodular Optimization
680,Tingran Gao,University of Chicago,Male,Jane Zhao,University of Illinois at Urbana Champaign,Female,Multi-Frequency Phase Synchronization
681,Ravi Kumar,Google,Male,David Woodruff,Carnegie Mellon University,Male,Faster Algorithms for Binary Matrix Factorization
682,Niru Maheswaranathan,Google Brain,Male,Jascha Sohl-Dickstein,Google Brain,Male,Guided evolutionary strategies: augmenting random search with surrogate gradients
683,Johannes Kirschner,ETH Zurich,Male,Andreas Krause,ETH Zurich,Male,Adaptive and Safe Bayesian Optimization in High Dimensions via One-Dimensional Subspaces
684,Hubert Eichner,Google,Male,Kunal Talwar,Google,Male,Semi-Cyclic Stochastic Gradient Descent
685,Ashok Cutkosky,Google,Male,Tamas Sarlos,Google,Male,Matrix-Free Preconditioning in Online Learning
686,Aviv Rosenberg,Tel Aviv University,Male,Yishay Mansour,Google and Tel Aviv University,Male,Online Convex Optimization in Adversarial Markov Decision Processes
687,Adrian Rivera Cardoso,Georgia Institute of Technology,Male,Huan Xu,Georgia Tech,Male,Competing Against Nash Equilibria in Adversarially Changing Zero-Sum Games
688,Corinna Cortes,Google Research,Female,Scott Yang,D. E. Shaw & Co.,Male,Online Learning with Sleeping Experts and Feedback Graphs
689,Xiao Zhang,Tianjin University,,Shizhong Liao,Tianjin University,Male,Incremental Randomized Sketching for Online Kernel Learning
690,Michal Kempka,Poznan University of Technology,Male,Manfred K. Warmuth,UC Santa Cruz & Google Inc.,Male,Adaptive Scale-Invariant Online Algorithms for Learning Linear Models
691,Naman Agarwal,Google AI Princeton,Male,Karan Singh,Princeton University,Male,Online Control with Adversarial Disturbances
692,Alon Resler,Tel Aviv University,Male,Yishay Mansour,Google and Tel Aviv University,Male,Adversarial Online Learning with noise
693,Zalán Borsos,ETH Zurich,Male,Andreas Krause,ETH Zurich,Male,Online Variance Reduction with Mixtures
694,Alina Beygelzimer,Yahoo Research,Female,Chicheng Zhang,Microsoft Research,Male,Bandit Multiclass Linear Classification: Efficient Algorithms for the Separable Case
695,Alon Cohen,Technion and Google,Male,Yishay Mansour,Google and Tel Aviv University,Male,Learning Linear-Quadratic Regulators Efficiently with only $\sqrt{T}$ Regret
696,King Tim Mann,DeepMind,Male,Prav Srinivasan,DeepMind,Male,Learning from Delayed Outcomes via Proxies with Applications to Recommender Systems
697,Lijun Zhang,Nanjing University,Female,Zhi-Hua Zhou,Nanjing University,Male,Adaptive Regret of Convex and Smooth Functions
698,Jianjun Yuan,University of Minnesota,,Andrew Lamperski,University of Minnesota,Male,Online Adaptive Principal Component Analysis and Its extensions
699,Yasin Abbasi-Yadkori,Adobe Research,Male,Gellért Weisz,DeepMind,Male,POLITEX: Regret Bounds for Policy Iteration using Expert Prediction
700,Ashok Cutkosky,Google,Male,Ashok Cutkosky,Google,Male,"Anytime Online-to-Batch, Optimism and Acceleration"
701,Nikolaos Liakopoulos,Huawei Paris Research Center,Male,Panayotis Mertikopoulos,CNRS,Male,Cautious Regret Minimization: Online Optimization with Long-Term Budget Constraints
702,Frederik Benzing,ETH Zurich,Male,Angelika Steger,ETH Zurich,Male,Optimal Kronecker-Sum Approximation of Real Time Recurrent Learning
703,James A. Grant,Lancaster University,Male,Enrique Munoz De Cote,PROWLER.io,Male,Adaptive Sensor Placement for Continuous Spaces
704,Peter Bartlett,UC Berkeley,Male,Michal Valko,DeepMind,Male,Scale-free adaptive planning for deterministic dynamics & discounted rewards
705,Jayadev Acharya,Cornell University,Male,Himanshu Tyagi,IISC,Male,Communication-Constrained Inference and the Role of Shared Randomness
706,Hossein Shokri Ghadikolaei,KTH Royal Institute of Technology,Male,Mikael Skoglund,KTH Royal Institute of Technology,Male,Learning and Data Selection in Big Datasets
707,Tongyang Li,University of Maryland,Male,Xiaodi Wu,University of Maryland,Male,Sublinear quantum algorithms for training linear and kernel-based classifiers
708,Mehryar Mohri,Courant Institute and Google Research,Male,Ananda Suresh,Google,Male,Agnostic Federated Learning
709,Jaime Roquero Gimenez,Stanford University,Male,James Zou,Stanford University,Male,Discovering Conditionally Salient Features with Statistical Guarantees
710,Nikunj Saunshi,Princeton University,Male,Hrishi Khandeparkar,Princeton University,Male,A Theoretical Analysis of Contrastive Unsupervised Representation Learning
711,Alexander Golovnev,Harvard,Male,Balazs Szorenyi,Yahoo Research,Male,The information-theoretic value of unlabeled data in semi-supervised learning
712,Eric Arazo,Insight Centre for Data Analytics (DCU),Male,Kevin McGuinness,Insight Centre for Data Analytics,Male,Unsupervised Label Noise Modeling and Loss Correction
713,Yifan Wu,Carnegie Mellon University,Male,Zachary Lipton,Carnegie Mellon University,Male,Domain Adaptation with Asymmetrically-Relaxed Distribution Alignment
714,Soumya Basu,University of Texas at Austin,Female,Sanjay Shakkottai,University of Texas at Austin,Male,Pareto Optimal Streaming Unsupervised Classification
715,Arthur Mensch,ENS,Male,Gabriel Peyré,CNRS and ENS,Male,Geometric Losses for Distributional Learning
716,Yu-Guan Hsieh,École normale supérieure,Male,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,"Classification from Positive, Unlabeled and Biased Negative Data"
717,Takashi Ishida,The University of Tokyo / RIKEN,Male,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,Complementary-Label Learning for Arbitrary Losses and Models
718,Maxwell Nye,MIT,Male,Armando Solar-Lezama,MIT,Male,Learning to Infer Program Sketches
719,Huaxiu Yao,Pennsylvania State University,Male,Zhenhui (Jessie) Li,Penn State University,Female,Hierarchically Structured Meta-learning
720,Yuchen Zhang,Tsinghua University,Male,Michael Jordan,UC Berkeley,Male,Bridging Theory and Algorithm for Domain Adaptation
721,Shani Gamrian,Bar Ilan University,Female,Yoav Goldberg,,Male,Transfer Learning for Related Reinforcement Learning Tasks via Image-to-Image Translation
722,Yunhun Jang,OMNIOUS,,Jinwoo Shin,"KAIST, AITRICS",Male,Learning What and Where to Transfer
723,Jennifer Jang,Uber,Female,Heinrich Jiang,Google,Male,DBSCAN++: Towards fast and scalable density clustering
724,Muhammed Fatih Balın,Bogazici ,Male,James Zou,Stanford University,Male,Concrete Autoencoders: Differentiable Feature Selection and Reconstruction
725,Hongteng Xu,"InfiniaML, Inc.",Male,Lawrence Carin,Duke,Male,Gromov-Wasserstein Learning for Graph Matching and Node Embedding
726,Pedro Mercado,Saarland University / University of Tübingen,Male,Matthias Hein,University of Tübingen,Male,Spectral Clustering of Signed Graphs via Matrix Power Means
727,Vladimir Braverman,Johns Hopkins University,Male,Xuan Wu,Johns Hopkins University,Male,Coresets for Ordered Weighted Clustering
728,Matthäus Kleindessner,Rutgers University,Male,Jamie Morgenstern,Georgia Institute of Technology,Female,Fair k-Center Clustering for Data Summarization
729,Silvio Lattanzi,Google Zurich,Male,Christian Sohler,Google,Male,A Better k-means++ Algorithm via Local Search
730,Yoshikazu Terada,Osaka University / RIKEN,,Michio Yamamoto,Okayama University / RIKEN,Male,Kernel Normalized Cut: a Theoretical Revisit
731,Matthäus Kleindessner,Rutgers University,Male,Jamie Morgenstern,Georgia Institute of Technology,Female,Guarantees for Spectral Clustering with Fairness Constraints
732,Nishant Yadav,University of Massachusetts Amherst,Male,Andrew McCallum,UMass Amherst,Male,Supervised Hierarchical Clustering with Exponential Linkage
733,Antoine Liutkus,Inria,Male,Fabian-Robert Stöter,Inria,Male,Sliced-Wasserstein Flows: Nonparametric Generative Modeling via Optimal Transport and Diffusions
734,Thanh Huy Nguyen,Telecom ParisTech,Male,Gaël RICHARD,Télécom ParisTech,Male,Non-Asymptotic Analysis of Fractional Langevin Monte Carlo for Non-Convex Optimization
735,Krzysztof Choromanski,Google Brain Robotics,Male,Adrian Weller,"University of Cambridge, Alan Turing Institute",Male,Unifying Orthogonal Monte Carlo Methods
736,Martin Zhang,Stanford University,Male,David Tse,Stanford University,Male,Adaptive Monte Carlo Multiple Testing via Multi-Armed Bandits
737,Ryan Turner,Uber AI Labs,Male,Jason Yosinski,Uber Labs,Male,Metropolis-Hastings Generative Adversarial Networks
738,Rob Cornish,Oxford,Male,Arnaud Doucet,Oxford University,Male,Scalable Metropolis-Hastings for Exact Bayesian Inference with Large Datasets
739,Alex Shestopaloff,The Alan Turing Institute / University of Edinburgh,Male,Arnaud Doucet,Oxford University,Male,Replica Conditional Sequential Monte Carlo
740,Alireza Rezaei,University of Washington,Male,Shayan Oveis Gharan,University of Washington,Male,A Polynomial Time MCMC Method for  Sampling from Continuous Determinantal Point Processes
741,Hongyu Ren,Stanford University,Male,Stefano Ermon,Stanford University,Male,Adaptive Antithetic Sampling for Variance Reduction
742,Amir Taghvaei,University of Illinois at Urbana-Champaign,Male,Prashant Mehta,University of Illinois at Urbana-CHampaign,Male,Accelerated Flow for Probability Distributions
743,Tai Yasuda,Carnegie Mellon University,Male,Manuel Fernandez,Carnegie Mellon University,Male,Tight Kernel Query Complexity of Kernel Ridge Regression and Kernel $k$-means Clustering
744,Kenneth  Clarkson,IBM Research,Male,David Woodruff,Carnegie Mellon University,Male,Dimensionality Reduction for Tukey Regression
745,Naman Agarwal,Google AI Princeton,Male,Yi Zhang,Princeton University,Female,Efficient Full-Matrix Adaptive Regularization
746,Ashok Makkuva,UIUC,Male,Sewoong Oh,University of Washington,Male,Breaking the gridlock in Mixture-of-Experts: Consistent and Efficient Algorithms
747,Quanming Yao,4Paradigm,Male,Bo Han,RIKEN-AIP,Male,Efficient Nonconvex Regularized Tensor Completion with Structure-aware Proximal Iterations
748,Ashish Katiyar,The University of Texas at Austin,Male,Constantine Caramanis,University of Texas,Male,Robust Estimation of Tree Structured Gaussian Graphical Models
749,Sejun Park,KAIST,,Jinwoo Shin,"KAIST, AITRICS",Male,Spectral Approximate Inference
750,Sinong Geng,Princeton University,,Sanmi Koyejo,Illinois / Google,Male,Partially Linear Additive Gaussian Graphical Models
751,Yue Yu,Lehigh University,Female,Mo Yu,IBM T. J. Watson,Male,DAG-GNN: DAG Structure Learning with Graph Neural Networks
752,Uthsav Chitra,Princeton University,Male,Benjamin Raphael,Princeton University,Male,Random Walks on Hypergraphs with Edge-Dependent Vertex Weights
753,Xiaojie Wang,University of Melbourne,,Jianzhong Qi,The University of Melbourne,Male,Doubly Robust Joint Learning for Recommendation on Data Missing Not at Random
754,Kubilay Atasu,IBM Research - Zurich,Male,Thomas Mittelholzer,"HSR Univ. Applied Sciences, Rapperswil, Switzerland",Male,Linear-Complexity Data-Parallel Earth Mover's Distance Approximations
755,Francisco Vargas,Babylon Health,Male,Nils Hammerla,Babylon Health,Male,Model Comparison for Semantic Grouping
756,Xiaoshuang Chen,Tsinghua Univerisity,Male,Junzhou Huang,University of Texas at Arlington / Tencent AI Lab,Male,RaFM: Rank-Aware Factorization Machines
757,Yi Su,Cornell University,Female,Thorsten Joachims,Cornell,Male,CAB: Continuous Adaptive Blending for Policy Evaluation and Learning
758,Szu-Wei Fu,National Taiwan University,Male,Shou-De Lin,National Taiwan University,Male,MetricGAN: Generative Adversarial Networks based Black-box Metric Scores Optimization for Speech Enhancement
759,Tavi Halperin,Hebrew University of Jerusalem,Male,Yedid Hoshen,Hebrew University of Jerusalem and Facebook AI Research,Male,Neural Separation of Observed and Unobserved Distributions
760,Yi Ren,Zhejiang University,Male,Tie-Yan Liu,Microsoft,Male,Almost Unsupervised Text to Speech and Automatic Speech Recognition
761,Kaizhi Qian,UIUC,Male,Mark Hasegawa-Johnson,University of Illinois,Male,AutoVC:  Zero-Shot Voice Style Transfer with Only Autoencoder Loss
762,Ronan Collobert,Facebook AI Research,Male,Gabriel Synnaeve,Facebook AI Research,Male,A fully differentiable beam search decoder
763,Jesse Anderton,Northeastern University,Male,Javed Aslam,Northeastern University,Male,Scaling Up Ordinal Embedding: A Landmark Approach
764,Aleksei Ustimenko,Yandex,,Pavel Serdyukov,Yandex,Male,Learning to select for a predefined ranking
765,Wenpin Tang,UCLA,Male,Wenpin Tang,UCLA,Male,Mallows ranking models: maximum likelihood estimate and regeneration
766,Chenyang ZHANG,University of Hong Kong,Male,Guosheng Yin,University of Hong Kong,Male,Fast and Stable Maximum Likelihood Estimation for Incomplete Multinomial Models
767,Jiaqi Gu,The University of Hong Kong,Male,Guosheng Yin,University of Hong Kong,Male,Fast Algorithm for Generalized Multinomial Models with Ranking Data
768,Julien Hendrickx,University of Catholique de Louvain,Male,Venkatesh Saligrama,Boston University,Male,Graph Resistance and Learning from Pairwise Comparisons
769,Jinseok Nam,Amazon,Male,Johannes Fürnkranz,TU Darmstadt,Male,Learning Context-dependent Label Permutations for Multi-label Classification
770,Arjun Seshadri,Stanford University,Male,Johan Ugander,Stanford University,Male,Discovering Context Effects from Raw Choice Data
771,Rohin Shah,UC Berkeley,Male,Anca Dragan,"EECS Department, University of California, Berkeley",Female,"On the Feasibility of Learning, Rather than Assuming, Human Biases for Reward Inference"
772,Bing Su,"Institute of Software, Chinese Academy of Sciences",Male,Ying Wu,Northwestern University,Male,Learning Distance for Sequences by Learning a Ground Metric
